Obsah / typ dat,Licence,Počet datasetů,Link,Poskytovatel dat
"Protialkoholní vyhláška (vymezení míst, kde je zakázáno požívat alkohol)",(c) Hl. m. Praha,1,http://www.praha.eu/file/1594624/vyhlaska_c._11.pdf,Hl. m. Praha
Volby a volební chování (2004-2014),otevřená data,xml,http://volby.cz/opendata/opendata.htm,Český statistický úřad
Registr smluv,otevřená data,xml,https://data.smlouvy.gov.cz/,MVČR
Edesky.cz,,,https://edesky.cz/api,edesky.cz
ARES,,xml,http://wwwinfo.mfcr.cz/ares/ares_xml.html.cz,MF ČR
,,,,
ŽIVOTNÍ PROSTŘEDÍ & SOCIÁLNÍ SLUŽBY,,,,
Zdroje znečištění ovzduší a bonita klimatu dle ovzduší,otevřená data,9,http://opendata.praha.eu/dataset?tags=ovzdu%C5%A1%C3%AD&_tags_limit=0,Institut pro plánování a rozvoj
Hlukové mapy a protihluková opatření,otevřená data,5,http://opendata.praha.eu/dataset?tags=hluk&_tags_limit=0,Institut pro plánování a rozvoj
Záplavová území a protipovodňová opatření,otevřená data,9,http://opendata.praha.eu/dataset?tags=z%C3%A1plavy&_tags_limit=0,Institut pro plánování a rozvoj
Seznam meteočidel,otevřená data,1,http://opendata.praha.eu/dataset?tags=meterologie&_tags_limit=0,Technická správa komunikací
Údržba komunikací,otevřená data,4,http://opendata.praha.eu/dataset?organization=tsk&tags=Praha&_tags_limit=0,Technická správa komunikací
Územní systém ekologické stability,otevřená data,1,http://opendata.praha.eu/dataset?tags=ochrana+p%C5%99%C3%ADrody&_tags_limit=0,Institut pro plánování a rozvoj
Stavební uzávěry,otevřená data,2,http://opendata.praha.eu/dataset?tags=%C3%BAzemn%C4%9B+spr%C3%A1vn%C3%AD+rozhodnut%C3%AD&_tags_limit=0,Institut pro plánování a rozvoj
Veřejné toalety v MČ Praha 8,otevřená data,1,http://opendata.praha.eu/dataset/praha8-verejne-toalety,MČ Praha 8
Odpadní zařízení pro občany,otevřená data,1,http://opendata.praha.eu/dataset/ipr-odpadni_zarizeni_pro_obcany,Institut pro plánování a rozvoj
Ochranné pásmo památných stromů,otevřená data,1,http://opendata.praha.eu/dataset/ipr-ochranne_pasmo_pamatnych_stromu,Institut pro plánování a rozvoj
Přírodní parky,otevřená data,1,http://opendata.praha.eu/dataset/ipr-prirodni_parky,Institut pro plánování a rozvoj
Landsat / EarthExplorer,otevřená data,,http://earthexplorer.usgs.gov/,
Data ČHMÚ - min. data o kvalitě ovzduší - mají API,,,http://portal.chmi.cz/files/portal/docs/uoco/web_generator/AIMdata_hourly.xml,
Matar - stanice na letištích,,,http://meteo.rlp.cz/,
,,,,
PODKLADOVÁ DATA,,,,
Mapové podklady ,otevřená data,29,http://opendata.praha.eu/dataset?organization=ipr&tags=mapov%C3%A9+podklady,Institut pro plánování a rozvoj
"Urbanismus (využití ploch, liniová infrastruktura atd.)",otevřená data,12,http://opendata.praha.eu/dataset?tags=urbanismus,Institut pro plánování a rozvoj
Územní plánování ,otevřená data,9,http://opendata.praha.eu/dataset?tags=%C3%BAzemn%C3%AD+pl%C3%A1nov%C3%A1n%C3%AD,Institut pro plánování a rozvoj
RUIAN,otevřená data,,http://vdp.cuzk.cz/,ČÚZK
Mapy.cz,otevřená data,,http://api.mapy.cz/,"Seznam.cz, a.s."
API portál České spořitelny,,,https://developers.csas.cz/html/devs/index.html,"Česká spořitelna, a.s."
